Player,Span,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s,
"(Gujarat Lions, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
WP Saha,2008-2024,170,145,24,2934,115*,24.24,2300,127.56,1,13,7,296,87,investigate this query
"(Chennai Super Kings, Gujarat Titans, Kings XI Punjab, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
BB McCullum,2008-2018,109,109,5,2880,158*,27.69,2186,131.74,2,13,6,293,130,investigate this query
"(Chennai Super Kings, Gujarat Lions, Kochi Tuskers Kerala, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
N Rana,2016-2025,118,112,10,2853,87,27.97,2086,136.76,0,20,7,261,141,investigate this query
"(Kolkata Knight Riders, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
PA Patel,2008-2019,139,137,11,2848,81,22.6,2358,120.78,0,13,13,365,49,investigate this query
"(Chennai Super Kings, Deccan Chargers, Kochi Tuskers Kerala, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
GJ Maxwell,2012-2025,141,135,17,2819,95,23.88,1817,155.14,0,18,19,237,161,investigate this query
"(Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Punjab Kings, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
MA Agarwal,2011-2025,131,125,5,2756,106,22.96,2064,133.52,1,13,7,273,100,investigate this query
"(Delhi Daredevils, Kings XI Punjab, Punjab Kings, Rising Pune Supergiant, Royal Challengers Bangalore, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Yuvraj Singh,2008-2019,132,126,15,2750,83,24.77,2120,129.71,0,13,4,217,149,investigate this query
"(Delhi Daredevils, Kings XI Punjab, Mumbai Indians, Pune Warriors, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
HH Pandya,2015-2025,152,140,43,2749,91,28.34,1871,146.92,0,10,6,207,148,investigate this query
"(Gujarat Titans, Mumbai Indians)",,,,,,,,,,,,,,,
V Sehwag,2008-2015,104,104,5,2728,122,27.55,1755,155.44,2,16,7,334,106,investigate this query
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
AD Russell,2012-2025,140,115,21,2651,88*,28.2,1522,174.17,0,12,6,186,223,investigate this query
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
M Vijay,2009-2020,106,106,5,2619,127,25.93,2149,121.87,2,13,5,247,91,investigate this query
"(Chennai Super Kings, Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
RD Gaikwad,2020-2025,71,70,8,2502,108*,40.35,1820,137.47,2,20,7,231,95,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
SPD Smith,2012-2021,103,93,21,2485,101,34.51,1940,128.09,1,11,1,225,60,investigate this query
"(Delhi Capitals, Pune Warriors, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
SE Marsh,2008-2017,71,69,7,2477,115,39.95,1866,132.74,1,20,1,266,78,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
JH Kallis,2008-2014,98,96,11,2427,89*,28.55,2222,109.22,0,17,9,255,44,investigate this query
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
DR Smith,2008-2017,91,89,5,2385,87*,28.39,1764,135.2,0,17,8,245,117,investigate this query
"(Chennai Super Kings, Deccan Chargers, Gujarat Lions, Mumbai Indians)",,,,,,,,,,,,,,,
SR Tendulkar,2008-2013,78,78,11,2334,100*,34.83,1948,119.81,1,13,4,295,29,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
N Pooran,2019-2025,90,87,20,2293,87*,34.22,1357,168.97,0,14,9,157,167,investigate this query
"(Kings XI Punjab, Lucknow Super Giants, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
RA Tripathi,2017-2025,100,98,11,2291,93,26.33,1662,137.84,0,12,4,229,85,investigate this query
"(Chennai Super Kings, Kolkata Knight Riders, Rajasthan Royals, Rising Pune Supergiant, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
R Dravid,2008-2013,89,82,5,2174,75*,28.23,1882,115.51,0,11,3,268,28,investigate this query
