Player,Span,Mat,Inns,NO,RunsDescending,HS,Ave,BF,SR,100,50,0,4s,6s,
Abishek Porel,2023-2025,31,29,3,661,65,25.42,441,149.88,0,3,2,65,27,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
E Lewis,2018-2022,27,26,2,654,65,27.25,477,137.1,0,4,2,62,36,investigate this query
"(Lucknow Super Giants, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
PP Chawla,2008-2024,192,92,36,624,24*,11.14,563,110.83,0,0,16,56,20,investigate this query
"(Chennai Super Kings, Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
CH Morris,2013-2021,81,51,23,618,82*,22.07,398,155.27,0,2,9,41,35,investigate this query
"(Chennai Super Kings, Delhi Capitals, Delhi Daredevils, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
JJ Roy,2017-2023,21,21,2,614,91*,32.31,443,138.6,0,4,0,75,21,investigate this query
"(Delhi Daredevils, Gujarat Lions, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
PJ Cummins,2014-2025,72,50,20,612,66*,20.4,402,152.23,0,3,4,39,41,investigate this query
"(Delhi Daredevils, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JD Ryder,2009-2012,29,29,1,604,86,21.57,458,131.87,0,4,4,69,19,investigate this query
"(Pune Warriors, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SN Khan,2015-2023,50,37,11,585,67,22.5,448,130.58,0,1,3,63,14,investigate this query
"(Delhi Capitals, Kings XI Punjab, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Rashid Khan,2017-2025,136,68,26,585,79*,13.92,365,160.27,0,1,16,41,41,investigate this query
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
HM Amla,2016-2017,16,16,3,577,104*,44.38,407,141.76,2,3,2,60,21,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
Shahbaz Ahmed,2020-2025,58,38,9,545,59*,18.79,448,121.65,0,1,1,29,25,investigate this query
"(Lucknow Super Giants, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
CJ Anderson,2014-2018,30,29,7,538,95*,24.45,423,127.18,0,3,2,40,31,investigate this query
"(Delhi Daredevils, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
RS Bopara,2009-2015,24,22,4,531,84,29.5,453,117.21,0,3,2,39,16,investigate this query
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JP Faulkner,2011-2017,60,45,20,527,46,21.08,389,135.47,0,0,0,36,23,investigate this query
"(Gujarat Lions, Kings XI Punjab, Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,,
MK Lomror,2018-2024,40,35,6,527,54*,18.17,373,141.28,0,1,3,33,30,investigate this query
"(Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
M Manhas,2008-2014,55,38,15,514,42*,22.34,470,109.36,0,0,6,43,10,investigate this query
"(Chennai Super Kings, Delhi Daredevils, Pune Warriors)",,,,,,,,,,,,,,,
Gurkeerat Singh,2012-2020,41,32,8,511,65,21.29,422,121.09,0,2,4,55,11,investigate this query
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Washington Sundar,2017-2025,66,45,12,511,49,15.48,405,126.17,0,0,3,42,16,investigate this query
"(Gujarat Titans, Rising Pune Supergiant, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
OA Shah,2010-2013,23,22,7,506,76,33.73,389,130.07,0,4,0,34,23,investigate this query
"(Kochi Tuskers Kerala, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
PC Valthaty,2009-2013,23,23,1,505,120*,22.95,418,120.81,1,2,1,60,20,investigate this query
"(Kings XI Punjab, Rajasthan Royals)",,,,,,,,,,,,,,,
SW Billings,2016-2022,30,27,1,503,56,19.34,388,129.63,0,3,3,40,20,investigate this query
"(Chennai Super Kings, Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
K Nitish Kumar Reddy,2023-2025,28,22,5,485,76*,28.52,365,132.87,0,2,1,31,25,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
P Arya,2025-2025,17,17,0,475,103,27.94,265,179.24,1,2,1,55,25,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
RR Rossouw,2014-2024,22,22,2,473,82*,23.65,308,153.57,0,2,4,45,25,investigate this query
"(Delhi Capitals, Punjab Kings, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
WG Jacks,2024-2025,21,19,2,463,100*,27.23,303,152.8,1,2,0,38,29,investigate this query
"(Mumbai Indians, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
A Raghuvanshi,2024-2025,22,18,2,463,54,28.93,320,144.68,0,2,0,46,16,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
DT Christian,2011-2021,49,41,10,460,39,14.83,398,115.57,0,0,2,23,19,investigate this query
"(Deccan Chargers, Delhi Daredevils, Rising Pune Supergiant, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
D Brevis,2022-2025,16,16,0,455,57,28.43,297,153.19,0,2,2,30,33,investigate this query
"(Chennai Super Kings, Mumbai Indians)",,,,,,,,,,,,,,,
SA Asnodkar,2008-2011,20,20,0,423,60,21.15,339,124.77,0,2,3,56,10,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
NLTC Perera,2010-2016,37,30,8,422,40,19.18,307,137.45,0,0,1,23,26,investigate this query
"(Chennai Super Kings, Kings XI Punjab, Kochi Tuskers Kerala, Mumbai Indians, Rising Pune Supergiants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JR Hopes,2008-2011,21,19,3,417,71,26.06,306,136.27,0,4,1,49,11,investigate this query
"(Delhi Daredevils, Kings XI Punjab)",,,,,,,,,,,,,,,
R Ravindra,2024-2025,18,18,1,413,65*,24.29,287,143.9,0,2,2,40,16,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
J Botha,2009-2015,34,28,8,409,67*,20.45,359,113.92,0,1,0,39,5,investigate this query
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
LR Shukla,2008-2014,47,34,7,405,48*,15,350,115.71,0,0,3,33,15,investigate this query
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
AL Menaria,2011-2013,29,23,2,401,40,19.09,356,112.64,0,0,1,24,18,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
SE Rutherford,2019-2025,23,20,4,397,46,24.81,289,137.37,0,0,1,25,26,investigate this query
"(Delhi Capitals, Gujarat Titans, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
MV Boucher,2008-2011,31,24,10,394,50*,28.14,309,127.5,0,1,0,32,13,investigate this query
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AR Sharma,2024-2025,24,18,4,393,66*,28.07,240,163.75,0,2,0,24,28,investigate this query
"(Delhi Capitals, Punjab Kings)",,,,,,,,,,,,,,,
Naman Dhir,2024-2025,23,19,5,392,62*,28,217,180.64,0,1,3,36,23,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
CA Pujara,2010-2014,30,22,3,390,51,20.52,391,99.74,0,1,1,50,4,investigate this query
"(Kings XI Punjab, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Azhar Mahmood,2012-2015,23,21,2,388,80,20.42,303,128.05,0,2,2,39,13,investigate this query
"(Kings XI Punjab, Kolkata Knight Riders)",,,,,,,,,,,,,,,
RD Rickelton,2025-2025,14,14,1,388,62*,29.84,257,150.97,0,3,0,47,17,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
J Fraser-McGurk,2024-2025,15,15,0,385,84,25.66,193,199.48,0,4,3,39,30,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
A Mishra,2008-2024,162,57,25,381,31,11.9,419,90.93,0,0,10,31,5,investigate this query
"(Deccan Chargers, Delhi Capitals, Delhi Daredevils, Lucknow Super Giants, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
KR Mayers,2023-2023,13,13,0,379,73,29.15,263,144.1,0,4,2,38,22,investigate this query
(Lucknow Super Giants),,,,,,,,,,,,,,,
DB Ravi Teja,2008-2013,32,25,6,375,60,19.73,317,118.29,0,1,1,35,9,investigate this query
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
S Sohal,2008-2011,22,20,0,368,62,18.4,292,126.02,0,2,3,34,18,investigate this query
"(Deccan Chargers, Kings XI Punjab)",,,,,,,,,,,,,,,
P Negi,2012-2019,50,35,9,365,36,14.03,289,126.29,0,0,3,27,16,investigate this query
"(Chennai Super Kings, Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
R Powell,2022-2025,29,23,3,365,67*,18.25,249,146.58,0,1,2,22,28,investigate this query
"(Delhi Capitals, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
Rahmanullah Gurbaz,2023-2025,19,18,1,363,81,21.35,269,134.94,0,2,2,34,22,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
KV Sharma,2009-2025,90,41,15,352,39*,13.53,295,119.32,0,0,1,20,17,investigate this query
"(Chennai Super Kings, Mumbai Indians, Royal Challengers Bangalore, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
DJ Mitchell,2022-2024,15,15,2,351,63,27,267,131.46,0,2,0,28,10,investigate this query
"(Chennai Super Kings, Rajasthan Royals)",,,,,,,,,,,,,,,
R Bhatia,2008-2017,95,49,19,342,26*,11.4,284,120.42,0,0,3,24,13,investigate this query
"(Delhi Daredevils, Kolkata Knight Riders, Rajasthan Royals, Rising Pune Supergiant, Rising Pune Supergiants)",,,,,,,,,,,,,,,
P Kumar,2008-2017,119,59,21,340,34,8.94,314,108.28,0,0,9,22,17,investigate this query
"(Gujarat Lions, Kings XI Punjab, Mumbai Indians, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AP Tare,2010-2017,35,28,4,339,59,14.12,273,124.17,0,1,5,40,11,investigate this query
"(Delhi Daredevils, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JEC Franklin,2011-2012,20,16,5,327,79,29.72,301,108.63,0,1,0,25,8,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
RN ten Doeschate,2011-2015,29,22,8,326,70*,23.28,235,138.72,0,1,3,26,15,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
SN Thakur,2015-2025,105,42,14,325,68,11.6,233,139.48,0,1,8,30,13,investigate this query
"(Chennai Super Kings, Delhi Capitals, Kings XI Punjab, Kolkata Knight Riders, Lucknow Super Giants, Rising Pune Supergiant)",,,,,,,,,,,,,,,
B Kumar,2011-2025,190,74,36,320,27,8.42,351,91.16,0,0,6,31,3,investigate this query
"(Pune Warriors, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Anuj Rawat,2021-2024,24,21,5,318,66,19.87,267,119.1,0,1,4,26,14,investigate this query
"(Rajasthan Royals, Royal Challengers Bangalore, Royal Challengers Bengaluru)",,,,,,,,,,,,,,,
R Vinay Kumar,2008-2018,105,46,18,310,26*,11.07,274,113.13,0,0,4,21,9,investigate this query
"(Kochi Tuskers Kerala, Kolkata Knight Riders, Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
Lalit Yadav,2021-2024,27,21,5,305,48*,19.06,290,105.17,0,0,1,27,7,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
DB Das,2008-2013,31,22,8,304,35*,21.71,261,116.47,0,0,1,23,16,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
C de Grandhomme,2017-2019,25,21,5,303,40,18.93,225,134.66,0,0,3,18,18,investigate this query
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
LA Pomersbach,2008-2013,17,16,5,302,79*,27.45,246,122.76,0,1,0,25,13,investigate this query
"(Kings XI Punjab, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
UBT Chand,2011-2016,21,20,0,300,58,15,300,100,0,1,4,32,9,investigate this query
"(Delhi Daredevils, Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
DJG Sammy,2013-2015,22,20,5,295,60,19.66,241,122.4,0,1,2,15,18,investigate this query
"(Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SP Goswami,2008-2020,31,21,1,293,52,14.65,295,99.32,0,1,4,32,3,investigate this query
"(Kolkata Knight Riders, Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
A Manohar,2022-2025,27,20,1,292,43,15.36,235,124.25,0,0,2,23,14,investigate this query
"(Gujarat Titans, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Y Nagar,2009-2012,26,20,6,285,44*,20.35,259,110.03,0,0,2,20,9,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
GH Vihari,2013-2019,24,23,3,284,46,14.2,321,88.47,0,0,0,23,1,investigate this query
"(Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
VVS Laxman,2008-2011,20,20,2,282,52,15.66,267,105.61,0,1,4,33,5,investigate this query
"(Deccan Chargers, Kochi Tuskers Kerala)",,,,,,,,,,,,,,,
A Ashish Reddy,2012-2016,31,23,8,280,36*,18.66,193,145.07,0,0,0,17,14,investigate this query
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
B Chipli,2008-2013,23,21,6,280,61*,18.66,251,111.55,0,1,0,28,7,investigate this query
"(Deccan Chargers, Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
JP Inglis,2025-2025,11,11,2,278,73,30.88,171,162.57,0,1,0,26,16,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
MJ Lumb,2010-2011,12,12,0,278,83,23.16,194,143.29,0,1,3,45,6,investigate this query
"(Deccan Chargers, Rajasthan Royals)",,,,,,,,,,,,,,,
PBB Rajapaksa,2022-2023,13,13,1,277,50,23.08,191,145.02,0,1,1,22,15,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
PK Garg,2020-2023,23,19,1,273,51*,15.16,241,113.27,0,1,2,16,9,investigate this query
"(Delhi Capitals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MJ Guptill,2016-2019,13,13,1,270,50*,22.5,196,137.75,0,1,1,24,15,investigate this query
"(Kings XI Punjab, Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
HV Patel,2012-2025,119,46,17,270,36*,9.31,229,117.9,0,0,9,16,15,investigate this query
"(Delhi Capitals, Delhi Daredevils, Punjab Kings, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
R Sathish,2010-2016,34,25,8,270,27*,15.88,231,116.88,0,0,2,22,6,investigate this query
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
JC Archer,2018-2025,52,32,13,262,30,13.78,178,147.19,0,0,5,14,18,investigate this query
"(Mumbai Indians, Rajasthan Royals)",,,,,,,,,,,,,,,
A Taide,2023-2025,10,10,0,260,66,26,177,146.89,0,2,1,30,8,investigate this query
"(Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
JO Holder,2013-2023,46,27,6,259,47*,12.33,211,122.74,0,0,2,13,18,investigate this query
"(Chennai Super Kings, Kolkata Knight Riders, Lucknow Super Giants, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
M Kaif,2008-2012,29,22,4,259,34*,14.38,250,103.6,0,0,0,22,6,investigate this query
"(Kings XI Punjab, Rajasthan Royals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
V Suryavanshi,2025-2025,7,7,0,252,101,36,122,206.55,1,1,1,18,24,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
K Gowtham,2018-2024,36,27,9,247,33*,13.72,148,166.89,0,0,2,15,17,investigate this query
"(Kings XI Punjab, Lucknow Super Giants, Rajasthan Royals)",,,,,,,,,,,,,,,
Harpreet Brar,2019-2025,49,26,14,244,29,20.33,203,120.19,0,0,1,19,10,investigate this query
"(Kings XI Punjab, Punjab Kings)",,,,,,,,,,,,,,,
SM Katich,2008-2009,11,11,1,241,75,24.1,186,129.56,0,2,1,25,8,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
A Mhatre,2025-2025,7,7,0,240,94,34.28,127,188.97,0,1,1,31,11,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
BCJ Cutting,2014-2019,21,17,6,238,39*,21.63,141,168.79,0,0,1,15,19,investigate this query
"(Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MD Mishra,2010-2012,18,17,1,237,41,14.81,208,113.94,0,0,1,24,8,investigate this query
"(Deccan Chargers, Pune Warriors)",,,,,,,,,,,,,,,
AU Verma,2025-2025,14,12,3,236,74,26.22,142,166.19,0,1,0,12,20,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
K Goel,2008-2010,22,17,2,218,38,14.53,231,94.37,0,0,2,17,9,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
AA Jhunjhunwala,2010-2012,21,16,3,217,53*,16.69,210,103.33,0,1,1,19,5,investigate this query
"(Deccan Chargers, Pune Warriors, Rajasthan Royals)",,,,,,,,,,,,,,,
Ramandeep Singh,2022-2025,31,20,9,217,35,19.72,137,158.39,0,0,1,9,17,investigate this query
"(Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
Mohammad Nabi,2017-2024,24,19,3,215,31,13.43,150,143.33,0,0,1,18,11,investigate this query
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
K Rabada,2017-2025,84,33,15,215,44,11.94,201,106.96,0,0,4,16,9,investigate this query
"(Delhi Capitals, Delhi Daredevils, Gujarat Titans, Punjab Kings)",,,,,,,,,,,,,,,
R Dhawan,2013-2024,39,24,13,210,25*,19.09,187,112.29,0,0,1,18,7,investigate this query
"(Kings XI Punjab, Mumbai Indians, Punjab Kings)",,,,,,,,,,,,,,,
UT Yadav,2010-2024,148,52,31,208,24*,9.9,201,103.48,0,0,8,16,9,investigate this query
"(Delhi Daredevils, Gujarat Titans, Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
CA Ingram,2011-2019,15,15,3,205,47,17.08,180,113.88,0,0,0,22,5,investigate this query
"(Delhi Capitals, Delhi Daredevils)",,,,,,,,,,,,,,,
PD Collingwood,2010-2010,8,7,2,203,75*,40.6,156,130.12,0,3,0,9,13,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
Kuldeep Yadav,2016-2025,98,38,23,201,35*,13.4,232,86.63,0,0,5,18,3,investigate this query
"(Delhi Capitals, Kolkata Knight Riders)",,,,,,,,,,,,,,,
KS Bharat,2021-2022,10,9,2,199,78*,28.42,163,122.08,0,1,1,12,8,investigate this query
"(Delhi Capitals, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SK Warne,2008-2011,55,29,9,198,34*,9.9,214,92.52,0,0,7,14,6,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
JD Unadkat,2010-2025,112,32,16,197,26,12.31,166,118.67,0,0,2,16,7,investigate this query
"(Delhi Daredevils, Kolkata Knight Riders, Lucknow Super Giants, Mumbai Indians, Rajasthan Royals, Rising Pune Supergiant, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SP Fleming,2008-2008,10,10,1,196,45,21.77,165,118.78,0,0,1,27,3,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
AS Raut,2009-2011,22,16,7,194,36*,21.55,167,116.16,0,0,1,13,7,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
BJ Rohrer,2013-2013,8,8,2,193,64*,32.16,140,137.85,0,1,0,21,5,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
Salman Butt,2008-2008,7,7,0,193,73,27.57,161,119.87,0,1,0,30,2,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
YV Takawale,2008-2014,16,10,2,192,45,24,178,107.86,0,0,2,26,3,investigate this query
"(Mumbai Indians, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
HC Brook,2023-2023,11,11,2,190,100*,21.11,154,123.37,1,0,3,23,4,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
Bipul Sharma,2010-2017,33,17,9,187,35*,23.37,123,152.03,0,0,0,11,9,investigate this query
"(Kings XI Punjab, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
R Shepherd,2022-2025,18,12,5,185,53*,26.42,87,212.64,0,1,2,12,17,investigate this query
"(Lucknow Super Giants, Mumbai Indians, Royal Challengers Bengaluru, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
FY Fazal,2010-2011,12,11,1,183,45,18.3,173,105.78,0,0,1,22,1,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
SD Hope,2024-2024,9,9,1,183,41,22.87,122,150,0,0,0,12,12,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
MS Wade,2011-2024,15,14,0,183,35,13.07,177,103.38,0,0,0,23,2,investigate this query
"(Delhi Daredevils, Gujarat Titans)",,,,,,,,,,,,,,,
Sikandar Raza,2023-2024,9,9,2,182,57,26,136,133.82,0,1,0,12,8,investigate this query
(Punjab Kings),,,,,,,,,,,,,,,
CR Brathwaite,2016-2019,16,14,1,181,43*,13.92,111,163.06,0,0,0,10,16,investigate this query
"(Delhi Daredevils, Kolkata Knight Riders, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AC Voges,2010-2010,9,7,3,181,45*,45.25,143,126.57,0,0,0,15,3,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
S Gopal,2014-2024,52,22,8,180,24,12.85,169,106.5,0,0,4,19,2,investigate this query
"(Mumbai Indians, Rajasthan Royals, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
AB Agarkar,2008-2013,42,22,12,179,39,17.9,154,116.23,0,0,1,13,5,investigate this query
"(Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
MF Maharoof,2008-2010,20,14,4,177,39,17.7,123,143.9,0,0,2,12,9,investigate this query
(Delhi Daredevils),,,,,,,,,,,,,,,
C Munro,2016-2019,13,12,0,177,40,14.75,141,125.53,0,0,2,19,8,investigate this query
"(Delhi Capitals, Delhi Daredevils, Kolkata Knight Riders)",,,,,,,,,,,,,,,
Sameer Rizvi,2024-2025,13,9,2,172,58*,24.57,122,140.98,0,1,1,15,9,investigate this query
"(Chennai Super Kings, Delhi Capitals)",,,,,,,,,,,,,,,
DH Yagnik,2011-2014,25,17,7,170,34,17,137,124.08,0,0,1,23,2,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
CM Gautam,2013-2015,13,13,3,169,33,16.9,150,112.66,0,0,0,17,6,investigate this query
"(Delhi Daredevils, Mumbai Indians)",,,,,,,,,,,,,,,
MG Johnson,2013-2018,54,30,17,167,16*,12.84,164,101.82,0,0,2,10,7,investigate this query
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
DW Steyn,2008-2020,95,37,15,167,19*,7.59,160,104.37,0,0,5,14,3,investigate this query
"(Deccan Chargers, Gujarat Lions, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
MN van Wyk,2009-2009,5,5,2,167,74,55.66,132,126.51,0,1,1,19,1,investigate this query
(Kolkata Knight Riders),,,,,,,,,,,,,,,
PA Reddy,2012-2013,12,11,1,164,42,16.4,160,102.5,0,0,0,15,2,investigate this query
"(Deccan Chargers, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
N Jagadeesan,2020-2023,13,10,1,162,39*,18,147,110.2,0,0,2,21,2,investigate this query
"(Chennai Super Kings, Kolkata Knight Riders)",,,,,,,,,,,,,,,
MN Samuels,2012-2017,15,14,1,161,46,12.38,172,93.6,0,0,1,9,7,investigate this query
"(Delhi Daredevils, Pune Warriors)",,,,,,,,,,,,,,,
R McLaren,2010-2013,18,13,5,159,51*,19.87,171,92.98,0,1,1,14,1,investigate this query
"(Kings XI Punjab, Kolkata Knight Riders, Mumbai Indians)",,,,,,,,,,,,,,,
RE van der Merwe,2009-2013,21,15,4,159,35,14.45,141,112.76,0,0,0,11,8,investigate this query
"(Delhi Daredevils, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
AD Hales,2018-2018,6,6,0,148,45,24.66,118,125.42,0,0,0,13,6,investigate this query
(Sunrisers Hyderabad),,,,,,,,,,,,,,,
D Wiese,2015-2023,18,11,6,148,47*,29.6,101,146.53,0,0,0,12,7,investigate this query
"(Kolkata Knight Riders, Royal Challengers Bangalore)",,,,,,,,,,,,,,,
SM Pollock,2008-2008,13,8,0,147,33,18.37,111,132.43,0,0,2,12,8,investigate this query
(Mumbai Indians),,,,,,,,,,,,,,,
S Vidyut,2008-2008,9,8,0,145,54,18.12,109,133.02,0,1,1,21,3,investigate this query
(Chennai Super Kings),,,,,,,,,,,,,,,
Sachin Baby,2013-2025,20,11,2,144,33,16,118,122.03,0,0,1,11,5,investigate this query
"(Rajasthan Royals, Royal Challengers Bangalore, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
V Nigam,2025-2025,14,8,1,142,39,20.28,79,179.74,0,0,1,15,8,investigate this query
(Delhi Capitals),,,,,,,,,,,,,,,
M Jansen,2021-2025,35,21,10,141,34*,12.81,129,109.3,0,0,3,8,6,investigate this query
"(Mumbai Indians, Punjab Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
N Saini,2012-2012,10,10,0,140,50,14,141,99.29,0,1,0,16,0,investigate this query
(Kings XI Punjab),,,,,,,,,,,,,,,
Anmolpreet Singh,2021-2024,9,9,0,139,36,15.44,115,120.86,0,0,1,19,3,investigate this query
"(Mumbai Indians, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SB Dubey,2024-2025,13,11,5,139,34*,23.16,85,163.52,0,0,1,9,10,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
S Anirudha,2008-2014,20,13,5,136,64,17,113,120.35,0,1,2,9,7,investigate this query
"(Chennai Super Kings, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
SB Styris,2008-2011,12,10,3,131,36*,18.71,133,98.49,0,0,0,10,3,investigate this query
"(Chennai Super Kings, Deccan Chargers)",,,,,,,,,,,,,,,
W Jaffer,2008-2009,8,8,0,130,50,16.25,121,107.43,0,1,1,14,3,investigate this query
(Royal Challengers Bangalore),,,,,,,,,,,,,,,
RD Chahar,2017-2025,79,24,8,129,25*,8.06,124,104.03,0,0,8,13,5,investigate this query
"(Mumbai Indians, Punjab Kings, Rising Pune Supergiant, Sunrisers Hyderabad)",,,,,,,,,,,,,,,
Kamran Akmal,2008-2008,6,6,1,128,53*,25.6,78,164.1,0,1,0,13,8,investigate this query
(Rajasthan Royals),,,,,,,,,,,,,,,
TK Curran,2018-2021,13,10,5,127,54*,25.4,107,118.69,0,1,0,10,3,investigate this query
"(Delhi Capitals, Kolkata Knight Riders, Rajasthan Royals)",,,,,,,,,,,,,,,
P Dogra,2010-2013,13,12,1,127,41,11.54,138,92.02,0,0,1,4,5,investigate this query
